darkness,training,model,MAE_pp
0.0,light-trained,RF,1.47
0.0,light-trained,PLS,1.79
0.0,dark-aware,RF,1.59
0.0,dark-aware,PLS,2.27
0.0,light-trained,PLS-raw,3.76
0.2,light-trained,RF,1.77
0.2,light-trained,PLS,1.99
0.2,dark-aware,RF,1.72
0.2,dark-aware,PLS,2.46
0.2,light-trained,PLS-raw,5.3
0.4,light-trained,RF,2.19
0.4,light-trained,PLS,2.43
0.4,dark-aware,RF,1.8
0.4,dark-aware,PLS,2.71
0.4,light-trained,PLS-raw,9.45
0.6,light-trained,RF,3.12
0.6,light-trained,PLS,3.34
0.6,dark-aware,RF,2.48
0.6,dark-aware,PLS,3.55
0.6,light-trained,PLS-raw,14.55
0.8,light-trained,RF,5.53
0.8,light-trained,PLS,5.55
0.8,dark-aware,RF,3.93
0.8,dark-aware,PLS,4.77
0.8,light-trained,PLS-raw,18.16
1.0,light-trained,RF,15.16
1.0,light-trained,PLS,16.18
1.0,dark-aware,RF,11.8
1.0,dark-aware,PLS,13.29
1.0,light-trained,PLS-raw,23.7
